Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Arthurs W.,Gambill J.M.,Gambill J.M.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Balcells J.,Henman T.,Henman T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Clement A.,Enqvist T.,Enqvist T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Dosedel S.,Ljubicic I.,Dosedel S.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Draper S.,Norman M.,Norman M.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Escude N.,Baccanello P.,Escude N.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Fromberg R.,Woodbridge T.,Fromberg R.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Goldstein P.,Vinck C.,Vinck C.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Ilie A.,Grosjean S.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,Hewitt L.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Knippschild J.,Federer R.,Federer R.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Martin A.,Spadea V.,Martin A.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Petrovic D.,Huet S.,Petrovic D.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Pozzi G.,Sekulov J.,Sekulov J.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Hrbaty D.,Stoltenberg J.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Tebbutt M.,Lisnard J.,Lisnard J.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Dosedel S.,Escude N.,Escude N.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Federer R.,Enqvist T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Grosjean S.,Gambill J.M.,Grosjean S.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Petrovic D.,Hewitt L.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Lisnard J.,Henman T.,Henman T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Norman M.,Fromberg R.,Norman M.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sekulov J.,Martin A.,Martin A.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vinck C.,Stoltenberg J.,Stoltenberg J.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Enqvist T.,Grosjean S.,Enqvist T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Escude N.,Escude N.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Stoltenberg J.,Hewitt L.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Martin A.,Norman M.,Norman M.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Enqvist T.,Norman M.,Enqvist T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Escude N.,Hewitt L.,Hewitt L.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,The Final,3,Hewitt L.,Enqvist T.,Hewitt L.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Behrend T.,Popp A.,Behrend T.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Delgado J.,Black B.,Delgado J.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Hantschk M.,Tieleman L.,Hantschk M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ishii Y.,Vanek J.,Vanek J.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ketola T.,Ogorodov O.,Ketola T.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kilderry P.,Stanoytchev O.,Stanoytchev O.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kroslak J.,Jonsson F.,Jonsson F.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kumar S.,Agenor R.,Agenor R.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Paes L.,Boutter J.,Paes L.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ram A.,Pioline C.,Pioline C.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Rochus C.,Damm M.,Damm M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Voinea A.,Sanguinetti D.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Spottl M.,Golmard J.,Golmard J.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tabara M.,Kafelnikov Y.,Tabara M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Lopez-Moron A.,Vinciguerra A.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Zib T.,Manta L.,Manta L.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Agenor R.,Damm M.,Damm M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Delgado J.,Stanoytchev O.,Delgado J.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hantschk M.,Behrend T.,Hantschk M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Jonsson F.,Golmard J.,Golmard J.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Manta L.,Tabara M.,Manta L.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Paes L.,Pioline C.,Pioline C.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sanguinetti D.,Vinciguerra A.,Sanguinetti D.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vanek J.,Ketola T.,Ketola T.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Golmard J.,Delgado J.,Golmard J.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Ketola T.,Hantschk M.,Hantschk M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Manta L.,Damm M.,Damm M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Pioline C.,Sanguinetti D.,Pioline C.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Damm M.,Golmard J.,Golmard J.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Hantschk M.,Pioline C.,Hantschk M.
Gold Flake Open,2000-01-03,International,Outdoor,Hard,The Final,3,Hantschk M.,Golmard J.,Golmard J.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Al-Alawi S.K.,Berasategui A.,Berasategui A.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Arazi H.,Cherkasov A.,Cherkasov A.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Bastl G.,Novak J.,Bastl G.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Caratti C.,Heuberger I.,Caratti C.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Diaz J.,Schalken S.,Schalken S.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Dupuis A.,El Aynaoui Y.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kiefer N.,Tarango J.,Kiefer N.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Luxa P.,Gaudio G.,Gaudio G.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Puerta M.,Mirnyi M.,Mirnyi M.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Santoro F.,Burgsmuller L.,Santoro F.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Schuettler R.,Sanchez J.,Schuettler R.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Siemerink J.,Squillari F.,Squillari F.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tillstrom M.,Ivanisevic G.,Tillstrom M.
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vicente F.,Vacek D.,Vacek D.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Bastl G.,Berasategui A.,Bastl G.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Cherkasov A.,Tillstrom M.,Tillstrom M.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Gaudio G.,El Aynaoui Y.,El Aynaoui Y.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Caratti C.,Kiefer N.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Marin J.A.,Mirnyi M.,Mirnyi M.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Santoro F.,van Lottum J.,Santoro F.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Vacek D.,Schuettler R.
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Squillari F.,Schalken S.,Schalken S.
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,El Aynaoui Y.,Tillstrom M.,El Aynaoui Y.
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Mirnyi M.,Schuettler R.,Schuettler R.
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Santoro F.,Bastl G.,Santoro F.
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Kiefer N.,Kiefer N.
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,El Aynaoui Y.,Schuettler R.,Schuettler R.
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Santoro F.,Kiefer N.,Santoro F.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Balcells J.,Squillari F.,Balcells J.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Berasategui A.,Martin A.,Martin A.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Novak J.,Novak J.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Chang M.,Black B.,Chang M.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Federer R.,Ferrero J.C.,Ferrero J.C.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Fromberg R.,Gambill J.M.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gustafsson M.,Nielsen M.,Gustafsson M.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Hantschk M.,Behrend T.,Behrend T.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Ivanisevic G.,Schalken S.,Schalken S.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Johansson T.,Weiner G.,Johansson T.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Norman M.,Costa F.,Norman M.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Rosset M.,Vicente F.,Rosset M.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sargsian S.,Gaudio G.,Gaudio G.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sell M.,Escude N.,Sell M.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Tarango J.,Haas T.,Haas T.
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Woodruff C.,van Lottum J.,van Lottum J.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Balcells J.,Haas T.,Balcells J.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Behrend T.,Schalken S.,Schalken S.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Martin A.,Ferrero J.C.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gambill J.M.,Norman M.,Norman M.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gustafsson M.,Johansson T.,Gustafsson M.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Novak J.,Gaudio G.,Gaudio G.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Rosset M.,van Lottum J.,Rosset M.
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Sell M.,Chang M.,Chang M.
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Balcells J.,Ferrero J.C.,Balcells J.
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Norman M.,Rosset M.,Norman M.
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Gaudio G.,Gaudio G.
Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Balcells J.,Chang M.,Chang M.
Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Norman M.,Gaudio G.,Norman M.
Heineken Open,2000-01-10,International,Outdoor,Hard,The Final,3,Chang M.,Norman M.,Norman M.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Arazi H.,Mantilla F.,Arazi H.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Clement A.,Zabaleta M.,Clement A.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Costa A.,Ilie A.,Ilie A.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Damm M.,Kucera K.,Kucera K.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Diaz J.,Stoltenberg J.,Stoltenberg J.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Dosedel S.,Woodforde M.,Dosedel S.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Grosjean S.,Hewitt L.,Hewitt L.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Ullyett K.,Hrbaty D.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Koubek S.,Meligeni F.,Koubek S.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Kuerten G.,Clavet F.,Clavet F.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Lapentti N.,El Aynaoui Y.,Lapentti N.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Martin T.,Medvedev A.,Martin T.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Pioline C.,Corretja A.,Corretja A.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Safin M.,Ljubicic I.,Ljubicic I.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Spadea V.,Voinea A.,Voinea A.
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Vacek D.,Lisnard J.,Vacek D.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Clement A.,Kucera K.,Kucera K.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Corretja A.,Arazi H.,Corretja A.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Clavet F.,Hewitt L.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ilie A.,Dosedel S.,Dosedel S.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Lapentti N.,Koubek S.,Lapentti N.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Martin T.,Ljubicic I.,Ljubicic I.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Stoltenberg J.,Hrbaty D.,Stoltenberg J.
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Vacek D.,Voinea A.,Voinea A.
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Corretja A.,Dosedel S.,Corretja A.
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Lapentti N.,Stoltenberg J.,Stoltenberg J.
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Ljubicic I.,Kucera K.,Ljubicic I.
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Voinea A.,Hewitt L.,Hewitt L.
Sydney International,2000-01-10,International,Outdoor,Hard,Semifinals,3,Hewitt L.,Corretja A.,Hewitt L.
Sydney International,2000-01-10,International,Outdoor,Hard,Semifinals,3,Ljubicic I.,Stoltenberg J.,Stoltenberg J.
Sydney International,2000-01-10,International,Outdoor,Hard,The Final,3,Hewitt L.,Stoltenberg J.,Hewitt L.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Alami K.,Manta L.,Alami K.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Alonso J.,Arazi H.,Arazi H.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Behrend T.,Meligeni F.,Behrend T.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Berasategui A.,Vicente F.,Vicente F.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Black B.,Martin T.,Martin T.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Black W.,Gambill J.M.,Black W.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Blanco G.,Schalken S.,Schalken S.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Dosedel S.,Dosedel S.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Kiefer N.,Kiefer N.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,Federer R.,Federer R.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Sargsian S.,Corretja A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Delgado J.,Rosset M.,Rosset M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Diaz J.,Jonsson F.,Jonsson F.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Draper S.,Ferrero J.C.,Ferrero J.C.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Dupuis A.,Rodriguez M.,Dupuis A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Courier J.,Escude N.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Bastl G.,Ferreira W.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Fromberg R.,Enqvist T.,Fromberg R.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Golmard J.,Henman T.,Henman T.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Saulnier C.,Haas T.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Goldstein P.,Hewitt L.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Clavet F.,Clavet F.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ilie A.,Tarango J.,Ilie A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Kulti N.,Johansson T.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Knippschild J.,Kafelnikov Y.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Karbacher B.,Hill M.,Hill M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Cadart R.,Koubek S.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kroslak J.,Lopez-Moron A.,Kroslak J.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kuerten G.,Portas A.,Portas A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Lareau S.,Tillstrom M.,Tillstrom M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Sekulov J.,Sekulov J.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Llodra M.,Gaudio G.,Llodra M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mamiit C.,Norman M.,Norman M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mantilla F.,Zabaleta M.,Zabaleta M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev A.,Lapentti N.,Lapentti N.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mirnyi M.,Agenor R.,Mirnyi M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Motomura G.,Grosjean S.,Grosjean S.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Hipfl M.,Novak J.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,O'Brien A.,Pretzsch A.,Pretzsch A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Parmar A.,El Aynaoui Y.,El Aynaoui Y.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Petrovic D.,Paes L.,Paes L.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Philippoussis M.,Okun N.,Philippoussis M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Pioline C.,Ivanisevic G.,Ivanisevic G.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Pozzi G.,Zib T.,Pozzi G.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Puerta M.,Agassi A.,Agassi A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Rochus C.,Costa A.,Rochus C.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Safin M.,Stafford G.,Stafford G.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Sampras P.,Arthurs W.,Sampras P.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Sanguinetti D.,Woodforde M.,Woodforde M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Santoro F.,Krajicek R.,Krajicek R.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Marin J.A.,Schuettler R.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Sirianni J.,Squillari F.,Squillari F.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Sluiter R.,Gaudenzi A.,Sluiter R.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Spadea V.,Voinea A.,Voinea A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Srichaphan P.,Kucera K.,Srichaphan P.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Stanoytchev O.,Vacek D.,Vacek D.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Stoltenberg J.,Bjorkman J.,Bjorkman J.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Tieleman L.,Martin A.,Tieleman L.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ullyett K.,Tabara M.,Ullyett K.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Vanek J.,Wessels P.,Vanek J.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Vinciguerra A.,Gumy H.,Vinciguerra A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Woodbridge T.,Siemerink J.,Woodbridge T.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Woodruff C.,Damm M.,Woodruff C.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Agassi A.,Schalken S.,Agassi A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Arazi H.,Jonsson F.,Arazi H.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Behrend T.,Kiefer N.,Kiefer N.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Black W.,Rosset M.,Black W.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Dosedel S.,Srichaphan P.,Dosedel S.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Dupuis A.,Mirnyi M.,Mirnyi M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Escude N.,Krajicek R.,Escude N.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Ferreira W.,Johansson T.,Ferreira W.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Fromberg R.,Pretzsch A.,Fromberg R.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Haas T.,El Aynaoui Y.,El Aynaoui Y.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Hewitt L.,Corretja A.,Hewitt L.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Hill M.,Grosjean S.,Grosjean S.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Ivanisevic G.,Clavet F.,Clavet F.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Kafelnikov Y.,Vacek D.,Kafelnikov Y.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Koubek S.,Stafford G.,Koubek S.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Kroslak J.,Federer R.,Federer R.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Llodra M.,Alami K.,Alami K.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Martin T.,Vicente F.,Vicente F.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Norman M.,Pozzi G.,Norman M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Novak J.,Ilie A.,Ilie A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Portas A.,Voinea A.,Voinea A.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Rochus C.,Ullyett K.,Rochus C.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Sluiter R.,Philippoussis M.,Philippoussis M.
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Squillari F.,Woodforde M.,Squillari F.
